"id_article","titre","nom_latin","ville_participante","Biodiful","Wild","longueur","largeur","poids","couleur","posture","nb_membres","accessoires","diametre_yeux","hauteur_tete","grande_rondeur","longueur_museau","profondeur_tete","matiere","longueur_poil","douceur_poil","longueur_oreilles","volume_corps","volume_tete","volume","sourire","personnage_celebre","regard","regard_visage","toucher","manipuler","sentir","douceur","age","sexe","freres_soeurs","atoi","score","fichier","cpr","cop","cop1","cop2","HeadHei","HeadLat","HeadFron","SnoutLen","SnoutHei","SnoutWid","EarLen","TruffleWid","TruffleHei","EyeDia","HeadBodyLen","ChestLen","ChestHigh","FrontLeg","HindLeg","LS_mean_light","LS_sd_light","CL_cie_d_wmean_mean","CL_polar_mean","COL_yellow","COL_red","COL_green","COL_blue","COL_dark","COL_light","GD_sizegood_1","GD_sizegood_2","GD_sizebad","SH_n.core.cell_mean","SH_perim.area.ratio_sd","MO_Fourier_pc1","MO_Fourier_pc2","MO_conv","MO_rect","HOG_mean","HOG_sd","HOG_skew","FR_full_sq_fd","FR_full_sq_sc","RGB_pca_A1","RGB_pca_A2","RGB_pca_A3"
"1001","Citronelle","Nunursus citronellus","paris","NO","NO",19,20,39.25,"7","2",4,"0",1,6.6,20,0.2,5.8,"2",2,6,2,394.7042588679,252.648,228.867419622633,"0","NA",2,2,1,2,1,7,29,"1",0,"1","a:2:{i:1001;a:8:{i:21;s:2:""ok"";i:22;s:2:""ok"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ko"";}i:1002;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ko"";}}","https://nounours.umontpellier.fr/IMG/jpg/41-local_citronellus.jpg",0.75,0.125,0.125,NA,6.05,8.35,5.99,0.6,2.07,2.48,1.42,1.01,0.6,0.94,13.92,9.85,7.2,5.94,5.35,0.829511112550153,0.0968429232421427,10.6776237710642,-0.964334369205793,1.92531698972745,0,0.798324197266611,2.37701491381049,0,0,NA,NA,NA,5289.25,0.223462047691341,0.0720532382831617,0.099807328090632,0.601506782736819,0.547201782886634,4.09198944906395e-06,9.54230481056496e-06,6.24409516704723,2.23875042835415,0.00595944546854877,3.76481537461582,-0.988111079490155,-0.566865024512582
"1002","Chonchon","Nunursus ronchonus","paris","YES","NO",34,28.5,198.4,"9","2",4,"0",1.5,12.5,38,4,19,"2",3,4,3.5,2470.56218161549,2968.75,1879.23739387183,"0","NA",4,4,4,5,3,8,34,"1",2,"0","a:2:{i:1002;a:8:{i:21;s:2:""ko"";i:22;s:2:""ok"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ok"";i:27;s:2:""ko"";i:28;s:2:""ko"";}i:1001;a:8:{i:21;s:2:""ko"";i:22;s:2:""ok"";i:23;s:2:""ok"";i:24;s:2:""ok"";i:25;s:2:""ko"";i:26;s:2:""ok"";i:27;s:2:""ok"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/36-local_ronchonus.jpg",NA,0.875,1,0.75,11.94,13.49,10.99,5.72,5.21,5.84,2.63,1.6,1.27,1.6,24.43,12.19,9.17,9.7,10.48,0.519161492573119,0.138779196132308,8.42559370461807,1.54059913674276,12.762383607051,0,0.178031340499866,0,0,0,NA,NA,NA,1588,0.473831859943888,0.0996850361388676,-0.135739925528631,0.686278546430725,0.592226828877086,8.49400021794196e-06,1.57377934402508e-05,7.00342081010758,2.4198020543097,0.0304032726446302,-5.42399714623352,2.54018894255108,-4.24310168981902
"1003","Nenuphar","Nunursus amandus","paris","NO","NO",34,30,191,"15","1",4,"7",0.6,13,38,8,16,"2",2,2,4,2413.10724715932,2704,1769.36908238644,"1","NA",3,3,3,4,3,5,60,"2",0,"0","a:2:{i:1003;a:8:{i:21;s:2:""ko"";i:22;s:2:""ok"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ok"";i:26;s:2:""ok"";i:27;s:2:""ok"";i:28;s:2:""ok"";}i:1001;a:8:{i:21;s:2:""ok"";i:22;s:2:""ok"";i:23;s:2:""ok"";i:24;s:2:""ok"";i:25;s:2:""ok"";i:26;s:2:""ok"";i:27;s:2:""ok"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/42-local_amandus.jpg",NA,0.375,NA,0.375,10.96,12.97,7.27,4.34,5.34,7.08,2.38,2.79,1.82,0.42,27.02,12.57,8.21,10.42,11.89,0.787237154081937,0.124034534918586,5.63614984500838,1.79025212895926,4.32175207804453,0,0.151341432397557,0,0,0,NA,NA,NA,1586.5,0.46161621110338,0.336813460435862,0.0613795170926445,0.592973337375298,0.526948898389834,1.04879076435289e-05,1.32230388647612e-05,4.25543556531713,2.59881894070302,0.0226761950455797,3.63579849778022,-0.470982369557788,0.328588448670323
"1004","Tinounousse","Nunursus tinus","paris","YES","NO",21,17,56,"8","2",4,"2.7",0.5,10,25,3,14.5,"2",4,3,2.5,547.09511687839,1450,684.365038959463,"1","NA",4,4,4,4,3,7,69,"1",2,"0","a:2:{i:1004;a:8:{i:21;s:2:""ok"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ko"";}i:1005;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ok"";i:27;s:2:""ok"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/37-local_timus.jpg",NA,0.6875,0.5,0.875,8.23,10.6,5.97,3.43,5.03,5.65,1.75,0.97,0.91,0.74,18.92,7.57,6.61,6.26,6.88,0.862446981544114,0.118708600669126,21.0309496377866,1.13806120611146,21.5063163104081,0.643336649957345,0,0.101986948310454,0,0,NA,NA,NA,1643.5,0.648010700441981,0.199457365223162,0.00543917520430582,0.597989950364019,0.612869446889741,1.58930827285828e-05,1.68763312264482e-05,2.90059849676611,2.62167819951677,0.0665639756571804,1.77276472557471,0.480081474924569,0.152230165289919
"1005","Noeuneuille","Nunursus noeuneuillus","paris","YES","NO",40,30,175,"8","2",4,"0",1.4,15,31,3.5,13,"2",4,4,5,1911.84875389139,2925,1670.61625129713,"1","NA",4,4,4,4,2,8,66,"2",4,"0","a:2:{i:1005;a:8:{i:21;s:2:""ko"";i:22;s:2:""ok"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ko"";}i:1004;a:8:{i:21;s:2:""ko"";i:22;s:2:""ok"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ok"";i:27;s:2:""ok"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/38-local_noeuneuillus.jpg",NA,0.75,0.625,0.875,14.75,16.03,8.85,7.33,6.25,7.57,2.51,1.67,0.98,1.37,29.85,12,9.34,12.01,10.1,0.791273374301996,0.109240514743557,9.86866762407764,1.55349073362407,13.7644401917254,0,0,0,0,0,NA,NA,NA,730,0.342635797395281,-0.0892754530126137,0.0318398968956553,0.587208145979765,0.619436106262694,1.04675387089932e-05,1.26529645821401e-05,3.37723542840145,2.53059707236643,0.026160955531426,2.52890839763172,2.16712914182752,2.12332274040917
"1006","patate","Nunursus patus","paris","YES","NO",30,16,96,"9","1",4,"0",1.5,9,30,3.5,10,"2",3,4,2.5,1504.01421221841,810,803.33807073947,"1","NA",5,4,4,4,3,8,31,"1",3,"0","a:2:{i:1006;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ok"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ok"";}i:1007;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/29-local_patate.jpg",NA,0.75,NA,0.75,10.94,14.28,9.68,5.05,6.72,6.74,2.79,2.69,1.57,1.21,25.22,10.58,8.12,8.07,9.21,0.769888994037572,0.166812834623862,11.7473801671117,0.79943861645319,14.144366440466,2.7120675271667,0.161786641113208,0,0,0,NA,NA,NA,3935.41666666667,0.320732413200762,0.193373199660215,0.0128581809907835,0.726735653291848,0.717384800928131,7.43583063220613e-06,1.26570786648401e-05,6.00102377368556,2.63579514789979,0.0655539001540365,-0.740932306525926,2.98103748849441,-0.82428194523953
"1008","Roudoudou","Nunursus mollis","paris","NO","NO",50,43,609,"9","2",4,"0",1.8,15,48,5,11,"2",3,4,4,6417.12730546522,2475,3167.04243515507,"0","NA",5,4,5,4,5,9,10,"1",1,"0","a:2:{i:1008;a:8:{i:21;s:2:""ok"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ok"";i:26;s:2:""ko"";i:27;s:2:""ko"";i:28;s:2:""ok"";}i:1009;a:8:{i:21;s:2:""ko"";i:22;s:2:""ok"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ok"";i:26;s:2:""ko"";i:27;s:2:""ok"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/10loc_nunursus-mollis.jpg",NA,0.625,NA,0.625,16.71,19.21,16.09,4.18,6.85,9.86,2.76,1.11,0.81,1.48,37.76,18.65,19.1,15.85,13.66,0.694131755704566,0.113228302185159,11.0035057380859,1.55115201676578,16.5718807492154,0,0.072671675207861,0,0,0,NA,NA,NA,2331.16666666667,0.247780285478452,0.194070476151065,-0.0434988278455225,0.601408972266212,0.55261865370176,7.35664800719679e-06,1.32511653515982e-05,5.92226387665618,2.65236979824923,0.0702002474684983,-0.725863824014038,4.64320019648761,0.51923408431878
"1010","Nounours","Nunursus calinus","dijon","NO","NO",45,41,300,"7","1",4,"9",1.5,15,50,3,12,"2",3,3,5,5968.31036594607,2700,2989.43678864869,"1","NA",4,5,3,4,5,6,5,"2",0,"1","a:2:{i:1010;a:8:{i:21;s:2:""ko"";i:22;s:2:""ok"";i:23;s:2:""ko"";i:24;s:2:""ok"";i:25;s:2:""ok"";i:26;s:2:""ko"";i:27;s:2:""ok"";i:28;s:2:""ko"";}i:1011;a:8:{i:21;s:2:""ok"";i:22;s:2:""ok"";i:23;s:2:""ok"";i:24;s:2:""ok"";i:25;s:2:""ok"";i:26;s:2:""ok"";i:27;s:2:""ok"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/nounours5.jpg",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.710775394771935,0.137527555708314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.154037075720181,0.1764750777519,0.56641095296926,0.603935217574346,9.74505983909509e-06,1.22424561401962e-05,4.41196525466411,2.57312060896234,0.0406050352263832,1.53457195926029,2.84858066885255,1.33817594276202
"1012","Cookie","Nunursus cookinus","dijon","NO","NO",27,23.5,108,"7","2",4,"0",0.5,9,26,1.5,10,"2",3,5,4,968.298673771091,810,628.766224590364,"1","NA",5,5,5,5,4,10,5,"1",1,"1","a:2:{i:1012;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ko"";i:27;s:2:""ok"";i:28;s:2:""ok"";}i:1013;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ok"";i:25;s:2:""ok"";i:26;s:2:""ok"";i:27;s:2:""ok"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/nounours6.jpg",0.75,0.625,0.625,NA,8.89,8.76,7.35,2.21,3.48,4.42,2.12,1.36,1.11,0.65,20.62,11.01,7.68,6.03,7.51,0.875981819917546,0.114026980016666,2.2557995756403,-1.03318079700672,0.209596596291898,0.261397955052712,0,1.09422185052561,0,0,NA,NA,NA,3318.5,0.705006024112301,-0.0598886356083393,-0.00345514671207278,0.603439396685346,0.668975226835088,4.16280301002457e-06,7.54540923710276e-06,5.9145991898076,2.5159787157707,0.00196964723113053,3.72727874390115,-2.5982373880238,-2.1957491297837
"1013","Poileau","Nunursus poilus","dijon","YES","NO",57,50,450,"8","2",4,"0",1.5,14,50,10,22,"2",4,3,4,8554.57819118937,4312,4438.85939706312,"0","NA",4,4,3,4,3,6,10,"2",1,"1","a:2:{i:1013;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ok"";i:25;s:2:""ok"";i:26;s:2:""ok"";i:27;s:2:""ko"";i:28;s:2:""ko"";}i:1012;a:8:{i:21;s:2:""ko"";i:22;s:2:""ko"";i:23;s:2:""ko"";i:24;s:2:""ko"";i:25;s:2:""ko"";i:26;s:2:""ok"";i:27;s:2:""ok"";i:28;s:2:""ok"";}}","https://nounours.umontpellier.fr/IMG/jpg/nounours8.jpg",0.625,0.375,0.375,NA,17.99,22.59,12.9,8.51,9.07,12.75,4.4,7.3,4.46,1.07,41.4,17.14,12.11,20.72,16.52,0.770127053772945,0.118529568561486,4.75874208555763,0.890447325138286,2.82420196985254,0.1660484856685,0.115179036114239,0,0,0,NA,NA,NA,3037.25,0.252650577254762,-0.115629907429012,0.204083618342033,0.568566872963749,0.541281210416295,7.89126043748215e-06,1.01200394808592e-05,4.72216036269952,2.41685611120107,0.010454281457539,3.23564693763755,0.553008020413633,0.748016730132617
